epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1747.84,0.47032,0.38924,0.85409,0.899,0.688,0.77714,0.64687,0.49224,0.46487,0.85132,6.20038e-05,6.20038e-05,6.20038e-05
40,1791.24,0.47454,0.39479,0.85821,0.92872,0.66979,0.77962,0.63797,0.50067,0.46697,0.85193,6.10039e-05,6.10039e-05,6.10039e-05
41,1829.66,0.46706,0.38194,0.85161,0.87796,0.71537,0.78503,0.65045,0.498,0.45182,0.85433,6.0004e-05,6.0004e-05,6.0004e-05
42,1868.02,0.46622,0.37891,0.8557,0.87922,0.71022,0.78115,0.6445,0.49201,0.47727,0.8557,5.90041e-05,5.90041e-05,5.90041e-05
43,1906.47,0.46441,0.37352,0.85537,0.8903,0.68768,0.77675,0.64715,0.49549,0.46895,0.84642,5.80042e-05,5.80042e-05,5.80042e-05
44,1944.84,0.45798,0.36689,0.85353,0.87008,0.70207,0.77862,0.65429,0.48596,0.44505,0.84778,5.70043e-05,5.70043e-05,5.70043e-05
45,1983.08,0.46771,0.36959,0.85494,0.90595,0.67908,0.77299,0.64611,0.48744,0.46041,0.8445,5.60044e-05,5.60044e-05,5.60044e-05
46,2021.33,0.45881,0.36645,0.84778,0.92373,0.69043,0.7784,0.64458,0.49653,0.4706,0.85433,5.50045e-05,5.50045e-05,5.50045e-05
47,2059.74,0.46395,0.37412,0.85748,0.9208,0.69116,0.77968,0.64858,0.49144,0.45085,0.85155,5.40046e-05,5.40046e-05,5.40046e-05
48,2097.93,0.45934,0.36699,0.85078,0.88707,0.70135,0.76703,0.63855,0.489,0.46425,0.85047,5.30047e-05,5.30047e-05,5.30047e-05
49,2136.26,0.44454,0.35179,0.84632,0.88642,0.69793,0.78033,0.65465,0.48905,0.45467,0.84622,5.20048e-05,5.20048e-05,5.20048e-05
50,2174.76,0.45397,0.35987,0.84906,0.89939,0.70352,0.78616,0.6557,0.48377,0.43662,0.85137,5.10049e-05,5.10049e-05,5.10049e-05
51,2213.46,0.4533,0.36192,0.85146,0.87731,0.71128,0.7783,0.6461,0.48284,0.45726,0.84943,5.0005e-05,5.0005e-05,5.0005e-05
52,2251.95,0.45812,0.3607,0.85032,0.8782,0.70319,0.77636,0.64702,0.48345,0.45474,0.84776,4.90051e-05,4.90051e-05,4.90051e-05
53,2290.39,0.44641,0.34797,0.85115,0.89638,0.70586,0.77922,0.64677,0.48584,0.461,0.84863,4.80052e-05,4.80052e-05,4.80052e-05
54,2328.99,0.45548,0.3565,0.85224,0.89732,0.71072,0.77795,0.65044,0.49298,0.43706,0.85333,4.70053e-05,4.70053e-05,4.70053e-05
55,2367.48,0.4454,0.34408,0.84859,0.89038,0.72104,0.78037,0.64752,0.49215,0.45825,0.85806,4.60054e-05,4.60054e-05,4.60054e-05
56,2405.87,0.43923,0.34297,0.8503,0.88976,0.70945,0.78767,0.65637,0.49688,0.44731,0.86333,4.50055e-05,4.50055e-05,4.50055e-05
57,2444.48,0.43677,0.3421,0.84468,0.92589,0.70181,0.78717,0.6535,0.49423,0.44449,0.85713,4.40056e-05,4.40056e-05,4.40056e-05
58,2482.95,0.44193,0.34474,0.84776,0.86086,0.73564,0.78069,0.65189,0.49308,0.45052,0.85135,4.30057e-05,4.30057e-05,4.30057e-05
59,2521.37,0.43748,0.34179,0.84171,0.90256,0.72059,0.78778,0.6504,0.49201,0.4424,0.8497,4.20058e-05,4.20058e-05,4.20058e-05
